bowel_injury,extravasation_injury,kidney_low,kidney_high,liver_low,liver_high,spleen_low,spleen_high
0.26842838525772095,0.37459197640419006,0.3747202157974243,0.16917601227760315,0.27125927805900574,0.1028633788228035,0.33462050557136536,0.2730230391025543
0.38256141543388367,0.4255213439464569,0.4622422158718109,0.3121821880340576,0.3355295956134796,0.17798282206058502,0.38523295521736145,0.4415490925312042
0.0582488514482975,0.1314019113779068,0.03403617814183235,0.05261969938874245,0.0369463749229908,0.028036605566740036,0.06816776841878891,0.0655512884259224
0.06685075908899307,0.21472381055355072,0.07603757083415985,0.06297092139720917,0.05433559790253639,0.04765879735350609,0.08619465678930283,0.10051202028989792
0.03474516421556473,0.06762377917766571,0.19661040604114532,0.06450391560792923,0.24809904396533966,0.044354360550642014,0.16260206699371338,0.060089170932769775
0.03807660937309265,0.07119675725698471,0.15476730465888977,0.06305095553398132,0.1973799616098404,0.050971999764442444,0.17598497867584229,0.05088657885789871
0.2550354301929474,0.4150708317756653,0.11008809506893158,0.14655724167823792,0.15306296944618225,0.05066492408514023,0.3771858513355255,0.22617694735527039
0.14111360907554626,0.3110393285751343,0.07198785245418549,0.10557913780212402,0.11946896463632584,0.023144174367189407,0.22364182770252228,0.14897574484348297
0.05654192715883255,0.28642550110816956,0.1298682689666748,0.10384032875299454,0.3058560788631439,0.07081256061792374,0.18066094815731049,0.19534654915332794
0.05392692610621452,0.1989281177520752,0.10954666882753372,0.06218541041016579,0.269461989402771,0.07498854398727417,0.14324945211410522,0.1478869765996933
0.06616801768541336,0.4153068959712982,0.09358260780572891,0.22971491515636444,0.15523308515548706,0.05577823147177696,0.24023091793060303,0.1354769468307495
0.05864124000072479,0.09794676303863525,0.07883881777524948,0.06705983728170395,0.2104152888059616,0.051365915685892105,0.18486863374710083,0.07893425971269608
0.11318119615316391,0.1556577831506729,0.12511132657527924,0.06411810219287872,0.16840538382530212,0.0378231517970562,0.23079317808151245,0.06755989044904709
0.04100612550973892,0.2701469957828522,0.14406251907348633,0.07816240191459656,0.208880215883255,0.04886108264327049,0.1381451040506363,0.11377085000276566
0.07481658458709717,0.12966197729110718,0.21703790128231049,0.13882993161678314,0.4639107286930084,0.1331549882888794,0.30920642614364624,0.14448100328445435
0.12418851256370544,0.2714155912399292,0.3320850431919098,0.15221306681632996,0.5482109785079956,0.26478052139282227,0.39532020688056946,0.32361388206481934
0.15433645248413086,0.5354368090629578,0.171224907040596,0.3175312876701355,0.22150258719921112,0.1164877712726593,0.29105862975120544,0.43701091408729553
